"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27"
"1" 6.16008393040988e-17 3.28053665990246e-28 8.55203058040575e-10 5.60450406862638e-15 1.22604327121018e-11 1.35718772604382e-19 6.63269808691165e-12 8.98997903875335e-22 5.2688497264725e-11 2.68234906242538e-11 9.34325974181707e-24 5.42629454796694e-15 3.13845107255672e-18 1.14501730663509e-07 3.13166579699162e-18 3.10676566022597e-19 5.13975180322912e-18 6.53747113249687e-18 6.96782986300358e-24 2.06198368450744e-15 1.19759016639305e-16 3.30542394760544e-14 8.75119722239854e-20 3.39608823125408e-20 1.45638159400644e-14 9.32122829055965e-12 1.17978267865412e-16
"2" 2.95022585896532e-14 9.91501658311002e-24 2.57765281240582e-08 6.99266910706528e-13 3.85875327110209e-10 1.3159470725701e-16 4.05107021865829e-10 1.74931221401166e-18 1.64450510832828e-09 8.46494894558622e-10 6.99649494114791e-20 1.30147170417885e-12 1.54198021085607e-15 1.72704912799039e-06 1.53530497446075e-15 1.54600499267234e-16 2.51725918886247e-15 3.25670997739783e-15 2.71125230109992e-20 4.9542351559522e-13 2.94557255813344e-14 4.03806657574963e-12 8.51102329492014e-17 3.30842445064909e-17 1.8091322544764e-12 5.71504509878209e-10 5.61987210742588e-14
"3" 1.06066472234416e-12 4.00364209077092e-21 1.84361866025932e-07 1.16452618183402e-11 2.88202979048503e-09 7.18437726045889e-15 4.4030108944136e-09 1.43742271774208e-16 1.21802321886713e-08 6.33899140090405e-09 1.24438841305312e-17 3.1245913129298e-11 5.68767782189129e-14 8.23924971447152e-06 5.6507018028603e-14 5.77622329182064e-15 9.25554165492164e-14 1.21750057591591e-13 3.34131478718724e-18 1.19143551583314e-11 7.25235871259863e-13 6.58425191169354e-11 4.66069749045378e-15 1.81496113114787e-15 2.99967508273227e-11 6.2356121839921e-09 2.00946879640683e-12
"4" 1.32078002989956e-11 2.76199580785038e-19 7.31713608910432e-07 8.50275107062071e-11 1.19451466357539e-08 1.2076876161387e-13 2.36019289091616e-08 3.23264798351799e-15 5.00620425283857e-08 2.63410875073471e-08 4.785698556961e-16 2.92326253441157e-10 7.2670743347116e-13 2.45305143653413e-05 7.20400913934419e-13 7.476250015287e-14 1.17879841180107e-12 1.57602143657786e-12 1.00178477962124e-16 1.1164997453171e-10 6.95868769079557e-12 4.70684535081658e-10 7.858457743805e-14 3.06605893889945e-14 2.18066983038141e-10 3.35559176435556e-08 2.48852369959914e-11
"5" 9.19868870107504e-11 7.23524494919204e-18 2.10307284110951e-06 3.95130116925039e-10 3.58546358374376e-08 1.06456776634873e-12 8.5882724979397e-08 3.57396838022975e-14 1.49009475808403e-07 7.92654318586163e-08 7.9516621830194e-15 1.63172969658702e-09 5.19357715647247e-12 5.63972329087739e-05 5.13717275089361e-12 5.41308394894643e-13 8.39759620886776e-12 1.14071691400898e-11 1.38428839756687e-15 6.24213707270409e-10 3.98386962735468e-11 2.14146473688661e-09 6.94831187094918e-13 2.71643803985614e-13 1.00898227813058e-09 1.2258375541849e-07 1.72354049958883e-10
"6" 4.43571237537733e-10 1.02717578956479e-16 4.92845969945029e-06 1.37971981092394e-09 8.77525998293072e-08 6.23799856471629e-12 2.44582012329367e-07 2.52151040072826e-13 3.6163628723059e-07 1.94477878916951e-07 7.7694995911334e-14 6.56951624098435e-09 2.57013130747209e-11 0.000110088508037164 2.53659701364696e-11 2.71410457390954e-12 4.142357228196e-11 5.71506929918588e-11 1.17185338232795e-14 2.5170762586251e-09 1.64517871457876e-10 7.32064818811571e-09 4.08391555956196e-12 1.60002180109188e-12 3.50795736496517e-09 3.50485984523169e-07 8.26455230948641e-10
"7" 1.6595525742648e-09 9.55458417812957e-16 1.00319220973062e-05 3.95523127710379e-09 1.865551826253e-07 2.75749095291797e-11 5.88124863133628e-07 1.30474570303943e-12 7.62351324791041e-07 4.14442482406425e-07 5.26231338171884e-13 2.11094626664491e-08 9.86902689527434e-11 0.000191927708143674 9.71862238269576e-11 1.05603476004493e-11 1.58549831530615e-10 2.22099148857782e-10 7.07369312105363e-14 8.10036558081549e-09 5.42258789594365e-10 2.05450099630972e-08 1.81081099607685e-11 7.11054672465473e-12 1.00129468745736e-08 8.46152439037896e-07 3.07456310270603e-09
"8" 5.15614023472552e-09 6.52150764784835e-15 1.84192520695536e-05 9.81387051199292e-09 3.5775492049597e-07 9.91691193091632e-11 1.24944943436382e-06 5.38048801312545e-12 1.44964658511006e-06 7.96643367177838e-07 2.72548548280854e-12 5.75063596806239e-08 3.1473130459003e-10 0.000308009910506539 3.09243181225217e-10 3.4128433778023e-11 5.0399472531275e-10 7.16597705161636e-10 3.33350202697316e-13 2.21002597186443e-08 1.51538681100603e-09 4.99044334927714e-08 6.53228172315663e-11 2.57115543485187e-11 2.47379190549455e-08 1.80486577633358e-06 9.4979430459961e-09
"9" 1.38996101663783e-08 3.51385805459237e-14 3.12573826675046e-05 2.18074102246754e-08 6.34121130912039e-07 3.04640113471577e-10 2.41470784484232e-06 1.8655961022534e-11 2.5478317485083e-06 1.41529250763144e-06 1.14999253435985e-11 1.3809318455042e-07 8.70944893431831e-10 0.000463966082266958 8.53839544582931e-10 9.57149857728185e-11 1.39016614364205e-09 2.00562796838224e-09 1.30023483322961e-12 5.31496687060797e-08 3.73325881611874e-09 1.08556604624993e-07 2.01282797088198e-10 7.9424997064411e-11 5.4735047191009e-08 3.50229333703621e-06 2.5456333462145e-08
"10" 3.34983652871619e-08 1.57103484869911e-13 4.98481180462078e-05 4.44195228428176e-08 1.05630506452629e-06 8.26400368665632e-10 4.33085639240081e-06 5.64159567694046e-11 4.20827079843366e-06 2.36283225410687e-06 4.12769258500565e-11 3.00193216727419e-07 2.15489370102778e-09 0.00066478558710022 2.10781455299674e-09 2.40031732036514e-10 3.42836655253464e-09 5.01736417471113e-09 4.36859845173718e-12 1.15710303426939e-07 8.32638598145046e-09 2.1645566523586e-07 5.47699941217043e-10 2.1668790292233e-10 1.11014360136931e-07 6.30722407904371e-06 6.0993157604109e-08
