"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30"
"1" 3.13252495601879e-21 1.00647097003836e-13 2.14489257953082e-17 1.10429586135958e-17 5.93725318581384e-24 1.10429586133386e-17 1.64763372061217e-14 0.000436180803650543 5.60244890815428e-15 3.94480681194117e-11 4.86450887936665e-17 2.5459186401197e-18 8.62056858837748e-12 2.9737000771852e-14 6.13748278587287e-28 5.60564533834687e-19 1.27585070077153e-14 0.000330293631518106 0.000188751118050631 4.3090932861057e-19 2.07435783944722e-15 2.07460257994151e-15 2.883288115385e-35 0.0555162973050331 0.00020292953392162 1.79374259612511e-08 4.69090329135573e-13 1.04361300620127e-25 1.23582850233878e-21 3.07269564854383e-10
"2" 1.15915362550476e-17 4.26022539090525e-11 1.03742462757088e-14 1.01960837681912e-14 2.30808984933148e-20 1.01960837604646e-14 3.86817572137746e-12 0.00155229484725346 6.93623742706618e-13 2.33880130369495e-09 4.46964277113043e-14 2.39064848736568e-15 5.2548857330692e-10 1.29274799256665e-11 1.84249995747192e-23 1.0180178994622e-15 3.03302552094411e-12 0.00119524847839662 0.00070153294431509 7.85777698473568e-16 9.45292275465551e-13 9.45732766672271e-13 2.64528001305956e-29 0.0462026452609687 0.00131064590098137 5.089882045823e-07 1.05983744545442e-10 5.68115827268027e-21 4.6435689711983e-18 1.75548556188859e-08
"3" 1.35836246211318e-15 1.35320896864371e-09 3.76727535078066e-13 5.29960576670058e-13 2.84197786221334e-18 5.29960573568057e-13 9.09056187692809e-11 0.00310623555234303 1.1462400962516e-11 2.46785355476462e-08 2.31184960032527e-12 1.26393356669902e-13 5.69998940029127e-09 4.21739150480176e-10 7.3898933287796e-21 7.80527375320355e-14 7.21728688728804e-11 0.00243216475177793 0.00146629820927224 6.05269599075014e-14 3.23407216301038e-11 3.23741764869399e-11 7.69268404252963e-26 0.0384278429812654 0.00355611222710841 3.4259955839513e-06 2.39580547978761e-09 3.09745090331823e-18 5.52540186427704e-16 1.78433909846472e-07
"4" 3.8721680969601e-14 1.48828536755395e-08 4.73907274436434e-12 8.47963790451053e-12 8.51381063891296e-17 8.47963769173097e-12 8.32542199638422e-10 0.00490928616860392 8.30494419760727e-11 1.28448414240137e-07 3.68096262781887e-11 2.05746945576534e-12 3.04920550642816e-08 4.76388910533848e-09 5.06378870155864e-19 1.63746888428337e-12 6.69240540668354e-10 0.0039090931609879 0.00242094006461412 1.27639929222829e-12 3.83281386296151e-10 3.8397625786581e-10 2.12046158799321e-23 0.0319415653555827 0.00675124536933905 1.27916736621656e-05 2.10951769140486e-08 2.56342193485724e-16 1.59929358127538e-14 8.94285336833388e-07
"5" 5.08678334156546e-13 9.15215738680388e-08 3.3347880065599e-11 7.11331307320791e-11 1.17556888903638e-15 7.11331251895761e-11 4.54931002485741e-09 0.00681667456318689 3.82978416146072e-10 4.53912293247963e-07 3.07267256744355e-10 1.7562340749735e-11 1.10724880805429e-07 3.00870529031807e-08 1.31757920101988e-17 1.68839066216637e-11 3.70245894064977e-09 0.00552018838393831 0.00351220882428709 1.32366866538167e-11 2.54092576695469e-09 2.54801531154144e-09 1.6069579914289e-21 0.0265335641831872 0.0105271966633311 3.45738278082612e-05 1.10770607494767e-07 7.54854407381399e-15 2.1331921250907e-13 3.04183104527837e-06
"6" 4.09339182927285e-12 3.8957357276836e-07 1.62499107766697e-10 3.96575968101795e-10 9.94471525899076e-15 3.96575889854606e-10 1.79312541182773e-08 0.00871958488693176 1.32705350465584e-09 1.25561538226363e-06 1.70460503564081e-09 9.96488163351372e-11 3.14666567035316e-07 1.3152126637121e-07 1.85798004381263e-16 1.11067859246797e-10 1.47739508400673e-08 0.0071816715422841 0.00469473060620891 8.76256380873906e-11 1.16648712896055e-08 1.17109904907931e-08 5.38020379324391e-20 0.0220273555580551 0.0144853059164227 7.61633503631222e-05 4.1934867548011e-07 1.15593000535384e-13 1.74288285504674e-12 8.09567256580165e-06
"7" 2.34858998828078e-11 1.28631331433817e-06 6.14454663857621e-10 1.66756723379607e-09 5.99913173479122e-14 1.6675665099732e-09 5.64103346190535e-08 0.0105384230720755 3.77519777091301e-09 2.93330163452634e-06 7.13225687302342e-09 4.26527606642545e-10 7.55040007742792e-07 4.45920985758157e-07 1.71665591744309e-15 5.35744885515503e-10 4.70494924686873e-08 0.0088283298427098 0.00593011949834042 4.25582896452133e-10 4.15564661447847e-08 4.17763089552288e-08 1.02494034284135e-18 0.0182748851377213 0.01828200578704 0.000145678016135341 1.26645505962912e-06 1.12702245375357e-12 1.01525261744635e-11 1.81883947542152e-05
"8" 1.05189234856233e-10 3.5263554736211e-06 1.92974870968487e-09 5.7034626199874e-09 2.82547492068419e-13 5.70345770649665e-09 1.50462789072632e-07 0.0122171593315734 9.29578011761679e-09 6.05561311838898e-06 2.42729226425745e-08 1.48526873445353e-09 1.60059805468345e-06 1.2551063043805e-06 1.16385174570868e-14 2.05901202483563e-09 1.27028475872264e-07 0.0104104893230883 0.00718617542157414 1.64785232347075e-09 1.22968226818388e-07 1.2380260635124e-07 1.29209886996024e-17 0.01515202237582 0.0216674072896083 0.000251240171367891 3.24119250815042e-06 7.89475330838286e-12 4.61639137154093e-11 3.60940762492679e-05
"9" 3.89907531944971e-10 8.38650467337618e-06 5.25922662277142e-09 1.66588919909164e-08 1.1015048245763e-12 1.66588656595846e-08 3.5379201707943e-07 0.0137185938431225 2.04991190937215e-08 1.13752682475934e-05 7.05445184378745e-08 4.41775469572086e-09 3.0866074242119e-06 3.06408778416645e-06 6.22896159164669e-14 6.65214888205476e-09 3.02313471271135e-07 0.0118914036382357 0.00843616039319515 5.3667001165671e-09 3.15784143969993e-07 3.18444142634681e-07 1.18822294043471e-16 0.0125547570877203 0.0244934137852833 0.000400320869203104 7.30875745359428e-06 4.29531132540893e-11 1.73715372260188e-10 6.51431818481021e-05
"10" 1.24483532484262e-09 1.78289711663579e-05 1.28159894956326e-08 4.29585654103965e-08 3.69918285610809e-12 4.29584483134675e-08 7.5313597883799e-07 0.0150204119772674 4.14380177258767e-08 1.98354505630976e-05 1.81006662408389e-07 1.16033244449286e-08 5.52376270182295e-06 6.68526058986993e-06 2.76632530062445e-13 1.87394624728841e-08 6.51296018157424e-07 0.0132450081079698 0.00965814640636175 1.52490781448019e-08 7.25169165414054e-07 7.32557173821507e-07 8.51907361990323e-16 0.0103959907347219 0.0267035584338323 0.000599202627235481 1.49128565821627e-05 1.91429787731595e-10 5.63006299565206e-10 0.000109083402458058
