"X2.126","X2.348","X2.593","X2.864","X3.163","X3.494","X3.859","X4.262","X4.707","X5.199","X5.742","X6.342","X7.005","X7.736","X8.545","X9.437","X10.423","X11.512","X12.715","X14.044","X15.511","X17.131","X18.921","X20.898","X23.082","X25.493","X28.157","X31.099","X34.348","X37.936","X41.9","X46.277","X51.112","X56.453","X62.351","X68.865","X76.06","X84.007","X92.784","X102.478","X113.184","X125.01","X138.071","X152.496","X168.429","X186.026","X205.462","X226.928","X250.637","X276.824","X305.746","X337.69","X372.971","X411.939","X454.978","X502.513","X555.015","X613.003","X677.049","X747.786"
"1",1.259424,1.865217,2.555636,3.275428,3.917037,4.478122,4.894347,5.211999,5.406521,5.303981,5.206638,4.877403,4.616422,4.445708,4.173983,3.807269,3.440437,3.128419,2.875718,2.637841,2.408352,2.192536,2.010623,1.840219,1.697519,1.566645,1.445387,1.347377,1.268383,1.218861,1.181897,1.147634,1.118105,1.113241,1.110199,1.079458,1.081321,1.079336,1.051906,1.01912,0.988657,0.94342,0.898378,0.852733,0.795824,0.741726,0.688832,0.641976,0.588696,0.545182,0.501877,0.466702,0.437617,0.408083,0.386486,0.368833,0.357563,0.348289,0.344509,0.344602
"3",0.39189,0.644506,1.074741,1.68863,2.417742,3.219172,3.98679,4.728575,5.37356,5.639833,5.905978,5.749868,5.630583,5.503886,5.201265,4.682779,4.138268,3.65513,3.247224,2.863647,2.521237,2.230515,2.012899,1.828488,1.697628,1.589568,1.500169,1.431359,1.382338,1.362724,1.341939,1.314405,1.279429,1.271861,1.260669,1.202225,1.192563,1.177179,1.130283,1.083436,1.045157,0.992511,0.945166,0.90018,0.844089,0.792804,0.744678,0.702627,0.651265,0.611236,0.567329,0.532418,0.502867,0.467552,0.441511,0.416273,0.399165,0.379755,0.367861,0.359666
"4",0.24795,0.312781,0.499569,0.86717,1.421973,2.140143,2.934776,3.768124,4.541111,5.035703,5.461616,5.521271,5.547594,5.553618,5.363813,4.962262,4.502609,4.081725,3.719283,3.375727,3.056647,2.763688,2.529928,2.319446,2.15068,1.998786,1.856119,1.736555,1.634046,1.564214,1.500935,1.433657,1.369383,1.340014,1.316805,1.258712,1.246356,1.234054,1.19569,1.155959,1.123216,1.075064,1.029363,0.984534,0.925513,0.86904,0.812045,0.760482,0.697911,0.646392,0.591444,0.545577,0.505639,0.461824,0.428268,0.398534,0.377659,0.358613,0.347576,0.341687
"5",0.339719,0.547893,0.933514,1.507895,2.212402,2.995452,3.751877,4.469134,5.068031,5.331416,5.541677,5.407528,5.283838,5.173723,4.901524,4.466954,4.011737,3.614988,3.284995,2.975676,2.69548,2.444386,2.250677,2.077554,1.938083,1.812343,1.701359,1.609023,1.532361,1.486458,1.448753,1.404201,1.359885,1.348238,1.335832,1.283055,1.276143,1.265771,1.22481,1.180853,1.143321,1.089233,1.03826,0.988688,0.92553,0.865925,0.807485,0.755994,0.694129,0.644461,0.592216,0.549708,0.513678,0.473114,0.443065,0.415335,0.396637,0.377176,0.366158,0.359774
"6",0.373701,0.623189,1.068264,1.718421,2.496133,3.348533,4.154642,4.917729,5.55752,5.767265,5.971352,5.72942,5.522774,5.307865,4.940764,4.397464,3.860689,3.413707,3.05849,2.742313,2.467685,2.232465,2.061978,1.904866,1.780645,1.66949,1.571527,1.490343,1.420103,1.376306,1.341117,1.304963,1.263713,1.254794,1.246209,1.192591,1.190562,1.183662,1.144946,1.105008,1.071624,1.021133,0.974236,0.92853,0.869913,0.814634,0.761538,0.714184,0.657936,0.61345,0.565223,0.526672,0.494518,0.457532,0.430478,0.405529,0.389057,0.371836,0.362179,0.356858
"8",0.436325,0.744796,1.245951,1.921563,2.671928,3.441591,4.12149,4.715122,5.166029,5.278492,5.351371,5.134655,4.952031,4.825175,4.569984,4.184693,3.791492,3.454561,3.173935,2.904975,2.65507,2.424343,2.239349,2.068636,1.930592,1.808145,1.693758,1.5969,1.516749,1.471155,1.432237,1.393736,1.360077,1.356489,1.349264,1.304512,1.303912,1.297666,1.257966,1.211885,1.169447,1.108429,1.049064,0.989489,0.915973,0.847127,0.78051,0.721794,0.655535,0.602173,0.548741,0.505779,0.47045,0.434001,0.407542,0.38547,0.371421,0.358906,0.353313,0.352171
"9",0.365217,0.598027,1.015449,1.624888,2.351577,3.156901,3.927869,4.669455,5.307722,5.564375,5.824691,5.681806,5.579233,5.474106,5.201635,4.720908,4.207123,3.745841,3.356353,2.985282,2.648486,2.353231,2.131877,1.937328,1.788929,1.66064,1.550833,1.459644,1.382206,1.335648,1.29829,1.257663,1.214481,1.201881,1.190687,1.140112,1.137729,1.132412,1.098566,1.063683,1.035999,0.992277,0.951154,0.910446,0.856851,0.805762,0.755548,0.709865,0.654124,0.609678,0.562008,0.522571,0.488538,0.450583,0.422486,0.396856,0.379244,0.362164,0.352363,0.347111
"10",0.287708,0.431528,0.747656,1.277578,1.983894,2.827631,3.687701,4.543428,5.290017,5.628909,5.934279,5.770961,5.62117,5.443563,5.084351,4.531543,3.977916,3.505529,3.127481,2.795007,2.515954,2.282827,2.122447,1.983995,1.881236,1.788867,1.702822,1.629103,1.56032,1.515798,1.472647,1.423238,1.367601,1.348166,1.327714,1.262242,1.255109,1.245322,1.203422,1.161949,1.129046,1.078674,1.031349,0.98471,0.923011,0.864268,0.806389,0.753528,0.689861,0.638598,0.583146,0.537661,0.498674,0.455605,0.423762,0.395432,0.375974,0.3583,0.348513,0.343961
"11",0.323094,0.538769,0.954402,1.586825,2.360141,3.214361,4.017616,4.766594,5.381432,5.594049,5.793105,5.587133,5.423995,5.273547,4.969424,4.487142,3.989448,3.553882,3.187894,2.842739,2.528568,2.254157,2.049707,1.869305,1.737938,1.629532,1.542155,1.478847,1.431606,1.416551,1.409942,1.393868,1.367309,1.368307,1.361287,1.304486,1.302878,1.291949,1.242739,1.190274,1.144745,1.081187,1.022424,0.96645,0.898167,0.835541,0.77656,0.725201,0.665894,0.619584,0.571279,0.533381,0.501804,0.465819,0.440232,0.415827,0.400001,0.382032,0.371703,0.365243
"14",0.430992,0.720633,1.188741,1.823483,2.540027,3.299282,4.007981,4.6634,5.202225,5.40122,5.564878,5.386665,5.224708,5.076427,4.770402,4.302789,3.812778,3.38824,3.044116,2.733987,2.466725,2.244955,2.089389,1.957109,1.858061,1.770418,1.692306,1.628139,1.573425,1.543842,1.511053,1.465773,1.415314,1.391258,1.367808,1.302319,1.28514,1.265084,1.215172,1.164644,1.122325,1.065381,1.013189,0.963483,0.901803,0.844995,0.790235,0.742079,0.684172,0.638305,0.589304,0.549397,0.5151,0.475767,0.446348,0.418771,0.399935,0.379563,0.367338,0.359306
"15",0.492523,0.85444,1.412195,2.133509,2.904858,3.666496,4.320008,4.87341,5.273151,5.327026,5.351194,5.089848,4.881109,4.73616,4.468468,4.073305,3.671134,3.32468,3.035612,2.763753,2.514041,2.28603,2.108394,1.949622,1.829155,1.728896,1.64109,1.57131,1.52035,1.497024,1.479982,1.45316,1.418596,1.409742,1.39644,1.33727,1.325297,1.309433,1.259249,1.204127,1.155296,1.090511,1.030203,0.972628,0.90367,0.840128,0.779435,0.727038,0.667025,0.619606,0.571268,0.532394,0.49975,0.463759,0.437359,0.413171,0.397305,0.379771,0.369896,0.36383
"17",0.392545,0.649549,1.08057,1.675676,2.362369,3.082609,3.747179,4.342344,4.803763,4.984862,5.086619,4.93666,4.787785,4.691983,4.452559,4.090677,3.705866,3.367568,3.084394,2.820667,2.578107,2.362606,2.191789,2.046307,1.931487,1.837439,1.753662,1.686586,1.635946,1.614623,1.599267,1.575169,1.549739,1.5463,1.536223,1.488013,1.482991,1.472244,1.428002,1.377795,1.330551,1.264306,1.200808,1.138348,1.06018,0.987236,0.914581,0.851217,0.776704,0.716253,0.653397,0.601698,0.557953,0.509687,0.472632,0.439212,0.416748,0.392747,0.379004,0.370445
"18",0.499796,0.832573,1.332395,1.973534,2.669178,3.376515,4.016357,4.593144,5.041592,5.182838,5.274894,5.088231,4.914251,4.781891,4.499396,4.083357,3.652537,3.277052,2.967637,2.688825,2.438762,2.22307,2.059129,1.922069,1.824253,1.741636,1.669779,1.612007,1.569152,1.547706,1.530291,1.502951,1.468891,1.459256,1.44743,1.395238,1.385789,1.371591,1.323611,1.272006,1.227661,1.167316,1.110883,1.056096,0.98727,0.92332,0.860661,0.805763,0.739941,0.687228,0.631299,0.585557,0.546564,0.502253,0.469197,0.438184,0.417062,0.39379,0.38049,0.372117
